4 2 0.25882137
4 10 0.00446623
4 30 0.0003699784
4 50 0.00012664322
9 2 0.3360508
9 10 0.008065499
9 30 0.0005594628
9 50 0.00019263638
16 2 0.7341902
16 10 0.00593553
16 30 0.00083358126
16 50 0.00014088456
25 2 0.8466416
25 10 0.0068340315
25 30 0.0007271722
25 50 0.00027739102
36 2 1.2963945
36 10 0.006286709
36 30 0.00058435136
36 50 0.0002442879
49 2 1.8837308
49 10 0.00740332
49 30 0.00046144324
49 50 0.00019400034
64 2 3.0016775
64 10 0.0066304747
64 30 0.000643744
64 50 0.00016651032
81 2 2.2607486
81 10 0.011387223
81 30 0.0007366406
81 50 0.00029080157
